"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Tue Jan 09 17:54:09 GMT 2024","Tue Jan 09 17:54:12 GMT 2024","2633","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"broken","Tue Jan 09 12:58:56 GMT 2024","Tue Jan 09 12:59:26 GMT 2024","30480","webkit","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 09 17:54:12 GMT 2024","Tue Jan 09 17:54:20 GMT 2024","8126","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Tue Jan 09 17:54:32 GMT 2024","Tue Jan 09 17:54:38 GMT 2024","6153","firefox","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Tue Jan 09 17:54:02 GMT 2024","Tue Jan 09 17:54:09 GMT 2024","6797","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 09 17:54:24 GMT 2024","Tue Jan 09 17:54:29 GMT 2024","5360","firefox","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 09 17:54:20 GMT 2024","Tue Jan 09 17:54:24 GMT 2024","3965","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
"broken","Tue Jan 09 12:59:07 GMT 2024","Tue Jan 09 12:59:37 GMT 2024","30264","webkit","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Tue Jan 09 17:54:29 GMT 2024","Tue Jan 09 17:54:32 GMT 2024","2319","firefox","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"broken","Tue Jan 09 12:59:06 GMT 2024","Tue Jan 09 13:01:07 GMT 2024","120223","webkit","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"broken","Tue Jan 09 12:59:04 GMT 2024","Tue Jan 09 12:59:34 GMT 2024","30254","webkit","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"passed","Tue Jan 09 17:54:38 GMT 2024","Tue Jan 09 17:54:43 GMT 2024","4697","firefox","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
