"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 18:38:27 GMT 2024","Wed Jan 10 18:38:32 GMT 2024","4567","firefox","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"broken","Tue Jan 09 12:59:04 GMT 2024","Tue Jan 09 12:59:34 GMT 2024","30254","webkit","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 10 18:38:02 GMT 2024","Wed Jan 10 18:38:05 GMT 2024","2961","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 10 18:37:56 GMT 2024","Wed Jan 10 18:38:02 GMT 2024","6713","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Jan 10 18:38:14 GMT 2024","Wed Jan 10 18:38:19 GMT 2024","5248","firefox","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"broken","Tue Jan 09 12:59:06 GMT 2024","Tue Jan 09 13:01:07 GMT 2024","120223","webkit","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Jan 10 18:38:05 GMT 2024","Wed Jan 10 18:38:10 GMT 2024","4680","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"broken","Tue Jan 09 12:58:56 GMT 2024","Tue Jan 09 12:59:26 GMT 2024","30480","webkit","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Jan 10 18:38:21 GMT 2024","Wed Jan 10 18:38:27 GMT 2024","6028","firefox","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"broken","Tue Jan 09 12:59:07 GMT 2024","Tue Jan 09 12:59:37 GMT 2024","30264","webkit","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 10 18:38:10 GMT 2024","Wed Jan 10 18:38:14 GMT 2024","3991","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Wed Jan 10 18:38:19 GMT 2024","Wed Jan 10 18:38:21 GMT 2024","1930","firefox","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
