"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 14:02:47 GMT 2024","Tue Jan 09 14:02:55 GMT 2024","8257","firefox","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 09 14:02:55 GMT 2024","Tue Jan 09 14:02:58 GMT 2024","3239","firefox","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"broken","Tue Jan 09 12:59:04 GMT 2024","Tue Jan 09 12:59:34 GMT 2024","30254","webkit","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Tue Jan 09 14:02:26 GMT 2024","Tue Jan 09 14:02:33 GMT 2024","6556","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"broken","Tue Jan 09 12:58:56 GMT 2024","Tue Jan 09 12:59:26 GMT 2024","30480","webkit","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 09 14:02:58 GMT 2024","Tue Jan 09 14:03:05 GMT 2024","7199","firefox","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"broken","Tue Jan 09 12:59:07 GMT 2024","Tue Jan 09 12:59:37 GMT 2024","30264","webkit","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"broken","Tue Jan 09 12:59:06 GMT 2024","Tue Jan 09 13:01:07 GMT 2024","120223","webkit","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
"passed","Tue Jan 09 14:02:33 GMT 2024","Tue Jan 09 14:02:36 GMT 2024","3532","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Tue Jan 09 14:02:42 GMT 2024","Tue Jan 09 14:02:46 GMT 2024","4402","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"passed","Tue Jan 09 14:02:36 GMT 2024","Tue Jan 09 14:02:42 GMT 2024","5677","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Tue Jan 09 14:03:05 GMT 2024","Tue Jan 09 14:03:11 GMT 2024","5469","firefox","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
