"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 09 12:59:04 GMT 2024","Tue Jan 09 12:59:34 GMT 2024","30254","webkit","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 10 16:22:04 GMT 2024","Wed Jan 10 16:22:05 GMT 2024","1639","firefox","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Jan 10 16:21:55 GMT 2024","Wed Jan 10 16:21:58 GMT 2024","2791","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 10 16:22:05 GMT 2024","Wed Jan 10 16:22:10 GMT 2024","4075","firefox","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Jan 10 16:21:50 GMT 2024","Wed Jan 10 16:21:55 GMT 2024","5221","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Wed Jan 10 16:22:10 GMT 2024","Wed Jan 10 16:22:12 GMT 2024","2760","firefox","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Wed Jan 10 16:21:58 GMT 2024","Wed Jan 10 16:22:04 GMT 2024","5490","firefox","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"broken","Tue Jan 09 12:59:07 GMT 2024","Tue Jan 09 12:59:37 GMT 2024","30264","webkit","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"broken","Tue Jan 09 12:59:06 GMT 2024","Tue Jan 09 13:01:07 GMT 2024","120223","webkit","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"broken","Tue Jan 09 12:58:56 GMT 2024","Tue Jan 09 12:59:26 GMT 2024","30480","webkit","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
"passed","Wed Jan 10 16:21:47 GMT 2024","Wed Jan 10 16:21:50 GMT 2024","2448","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Jan 10 16:21:43 GMT 2024","Wed Jan 10 16:21:47 GMT 2024","4006","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
