"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 13:57:32 GMT 2024","Tue Jan 09 13:57:37 GMT 2024","5310","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Tue Jan 09 13:58:08 GMT 2024","Tue Jan 09 13:58:14 GMT 2024","6402","firefox","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Tue Jan 09 13:58:01 GMT 2024","Tue Jan 09 13:58:08 GMT 2024","6342","firefox","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Tue Jan 09 13:57:57 GMT 2024","Tue Jan 09 13:58:01 GMT 2024","3713","firefox","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Tue Jan 09 13:57:24 GMT 2024","Tue Jan 09 13:57:32 GMT 2024","8373","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"passed","Tue Jan 09 13:57:45 GMT 2024","Tue Jan 09 13:57:50 GMT 2024","4893","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"failed","Tue Jan 09 13:58:18 GMT 2024","Tue Jan 09 13:58:18 GMT 2024","690","webkit","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"failed","Tue Jan 09 13:58:19 GMT 2024","Tue Jan 09 13:58:20 GMT 2024","686","webkit","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"failed","Tue Jan 09 13:58:17 GMT 2024","Tue Jan 09 13:58:17 GMT 2024","661","webkit","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
"failed","Tue Jan 09 13:58:15 GMT 2024","Tue Jan 09 13:58:16 GMT 2024","677","webkit","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Tue Jan 09 13:57:50 GMT 2024","Tue Jan 09 13:57:57 GMT 2024","7357","firefox","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Tue Jan 09 13:57:37 GMT 2024","Tue Jan 09 13:57:45 GMT 2024","7226","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
